INSTRUMENT REF,INSTRUMENT GROUP,INSTRUMENT TYPE
AM01L_A_NaI_impregnated_02,air_sampler,glass_sinter
AM01L_A_Teflonfilter_02,air_sampler,filter_3pack
AM01L_A_Whatman_Teflon_filters_02,air_sampler,filter_3pack
AM01L_A_Whatmanfilter_02,air_sampler,filter_3pack
AM01L_pg_01,precip_sampler,precip_gauge
AM01L_uv_abs_02,air_monitor,uv_abs
AR01L_sja_o3,air_monitor,uv_abs
AR01L_uv_abs_LQO2,air_monitor,uv_abs
AR01L_uv_abs_MBI1,air_monitor,uv_abs
AR01L_uv_abs_PIL2,air_monitor,uv_abs
AR01L_uv_abs_USH3,air_monitor,uv_abs
AT01L_DA80H_458,air_sampler,high_vol_sampler
AT01L_NA,NA,NA
AT01L_abs_01,air_sampler,abs_solution
AT01L_abs_02,air_sampler,abs_solution
AT01L_aws_02,phys_monitor,aws
AT01L_aws_05,phys_monitor,aws
AT01L_aws_48,phys_monitor,aws
AT01L_bs_01,precip_sampler,bulk_sampler
AT01L_bs_02,precip_sampler,bulk_sampler
AT01L_bulk_2,precip_sampler,bulk_sampler
AT01L_f1p_01,air_sampler,filter_1pack
AT01L_f1p_02,air_sampler,filter_1pack
AT01L_f3p_02,air_sampler,filter_3pack
AT01L_f3p_02_dup,air_sampler,filter_3pack
AT01L_hvs-02,air_sampler,high_vol_sampler
AT01L_hvs_02,air_sampler,high_vol_sampler
AT01L_hvs_05,air_sampler,high_vol_sampler
AT01L_hvs_48,air_sampler,high_vol_sampler
AT01L_hvs_pops_02,air_sampler,high_vol_sampler
AT01L_precip_gauge_48,precip_sampler,precip_gauge
AT01L_wados_02,precip_sampler,wet_only_sampler
AT01L_wados_03,precip_sampler,wet_only_sampler
AT01L_wados_04,precip_sampler,wet_only_sampler
AT01L_wados_05,precip_sampler,wet_only_sampler
AT01L_wados_48,precip_sampler,wet_only_sampler
AT02L_Thermo_5020_SPA_at02,air_monitor,sulphate_monitor
AT02L_ecoc_02,air_monitor,online_thermal-optical_analysis
AT02L_f3p_02,air_sampler,filter_3pack
AT02L_wados_02,precip_sampler,wet_only_sampler
