ID,LAT,LON,ALT_ASL,COUNTRY,NAME
AM0001R,40.38444,44.26058,2080.0,AM051ARM,"Amberd"
AR0001R,-64.24006,-56.62478,198.0,AR032ARG,"Marambio"
AR0002G,-54.84846,-68.31069,18.0,AR032ARG,"Ushuaia"
AR0003R,-49.30260,-67.82230,62.0,AR032ARG,"San Julian Aero"
AR0004R,-22.10333,-65.60083,3459.0,AR032ARG,"La Quiaca"
AR0005R,-31.66861,-63.88194,339.0,AR032ARG,"Pilar"
AT0001R,48.08333,17.06667,,AT040AUT,"Kittsee"
AT0002R,47.76667,16.76667,117.0,AT040AUT,"Illmitz"
AT0003R,47.55000,11.71667,960.0,AT040AUT,"Achenkirch"
AT0004R,47.65000,13.20000,851.0,AT040AUT,"St. Koloman"
AT0005R,46.67778,12.97222,1020.0,AT040AUT,"Vorhegg"
AT0030R,48.72111,15.94222,315.0,AT040AUT,"Pillersdorf bei Retz"
AT0032R,47.52917,9.92667,1020.0,AT040AUT,"Sulzberg"
AT0033R,47.12917,14.20389,1302.0,AT040AUT,"Stolzalpe bei Murau"
AT0034G,47.05407,12.95794,3106.0,AT040AUT,"Sonnblick"
AT0037R,47.13694,11.87000,1970.0,AT040AUT,"Zillertaler Alpen"
AT0038R,46.69361,13.91500,1895.0,AT040AUT,"Gerlitzen"
AT0040R,47.34806,15.88222,1170.0,AT040AUT,"Masenberg"
AT0041R,47.97306,13.01611,730.0,AT040AUT,"Haunsberg"
AT0042R,48.87861,15.04667,570.0,AT040AUT,"Heidenreichstein"
AT0043R,48.10611,15.91944,581.0,AT040AUT,"Forsthof"
AT0044R,47.11306,15.47056,651.0,AT040AUT,"Graz Platte"
AT0045R,48.37111,15.54667,320.0,AT040AUT,"Dunkelsteinerwald"
AT0046R,48.33472,16.73056,161.0,AT040AUT,"Gänserndorf"
AT0047R,48.05083,16.67667,240.0,AT040AUT,"Stixneusiedl"
AT0048R,47.83861,14.44139,899.0,AT040AUT,"Zoebelboden"
AT0049R,47.04028,14.33000,1648.0,AT040AUT,"Grebenzen bei St. Lamprecht"
AT0050R,47.06694,15.49361,481.0,AT040AUT,"Graz Lustbuehel"
AU0001C,-23.79509,133.88901,547.0,AU036AUS,"Alice Springs"
AU0002G,-40.68222,144.68834,94.0,AU036AUS,"Cape Grim"
AU0003R,-12.41667,130.88333,31.0,AU036AUS,"Darwin"
AZ0001R,40.90722,49.03889,639.0,AZ031AZE,"Xizi"
BA0006R,43.76667,18.03333,970.0,BA070BIH,"Ivan Sedlo"
BA0009U,43.86800,18.42300,635.0,BA070BIH,"Sarajevo Bjelave"
BA0010U,43.85400,18.39600,545.0,BA070BIH,"Sarajevo Pofalici"
BB0001R,13.17000,-59.43000,45.0,BB052BRB,"Ragged Point"
BE0001R,49.87778,5.20361,430.0,BE056BEL,"Offagne"
BE0002R,,,,BE056BEL,"Oostende"
BE0003R,51.25000,3.20000,10.0,BE056BEL,"Brugge"
BE0004R,51.36000,3.33333,0.0,BE056BEL,"Knokke"
BE0005R,51.05000,3.71667,0.0,BE056BEL,"University of Gent"
BE0006R,50.79790,4.35876,100.0,BE056BEL,"Uccle"
BE0007R,50.30400,6.00127,496.0,BE056BEL,"TMNT09 Vielsalm"
BE0011R,51.25457,3.36254,3.0,BE056BEL,"Moerkerke"
BE0013R,51.01628,2.58232,2.0,BE056BEL,"Houtem"
BE0014R,51.12092,2.65854,4.0,BE056BEL,"Koksijde"
BE0032R,50.62942,6.00102,295.0,BE056BEL,"Eupen"
BE0035R,50.50333,4.98944,160.0,BE056BEL,"Vezin"
BE0090R,51.23333,2.98333,0.0,BE056BEL,"Bredene"
BG0001R,42.16667,23.58333,2971.0,BG100BGR,"BEO Moussala"
BG0053R,41.69583,24.73861,1750.0,BG100BGR,"Rojen peak"
BM0001R,32.27000,-64.88000,30.0,BM060BMU,"Tudor Hill (Bermuda)"
BO0001R,-16.20000,-68.10000,5320.0,BO068BOL,"Mount Chacaltaya"
