COMPONENT,MATRIX,UNIT
1-2-3-4-tetrachlorobenzene,aerosol,pg/m3
1-2-3-4-tetrachlorobenzene,air,pg/m3
1-2-3-4-tetrachlorobenzene,air+aerosol,pg/m3
1-2-3-4-tetrahydronaphthalene,aerosol,pg/m3
1-2-3-4-tetrahydronaphthalene,air,pg/m3
1-2-3-4-tetrahydronaphthalene,air+aerosol,pg/m3
1-2-3-trichlorobenzene,aerosol,pg/m3
1-2-3-trichlorobenzene,air,pg/m3
1-2-3-trichlorobenzene,air+aerosol,pg/m3
1-2-3-trimethylbenzene,air,pmol/mol
1-2-4-5-tetrachlorobenzene,aerosol,pg/m3
1-2-4-5-tetrachlorobenzene,air,pg/m3
1-2-4-5-tetrachlorobenzene,air+aerosol,pg/m3
1-2-4-trichlorobenzene,aerosol,pg/m3
1-2-4-trichlorobenzene,air,pg/m3
1-2-4-trichlorobenzene,air+aerosol,pg/m3
1-2-4-trimethylbenzene,air,pmol/mol
1-2-dichlorobenzene,aerosol,pg/m3
1-2-dichlorobenzene,air,pg/m3
1-2-dichlorobenzene,air+aerosol,pg/m3
1-3-5-trichlorobenzene,aerosol,pg/m3
1-3-5-trichlorobenzene,air,pg/m3
1-3-5-trichlorobenzene,air+aerosol,pg/m3
1-3-5-trimethylbenzene,air,pmol/mol
1-3-butadiene,air,pmol/mol
1-3-dichlorobenzene,aerosol,pg/m3
1-3-dichlorobenzene,air,pg/m3
1-3-dichlorobenzene,air+aerosol,pg/m3
1-4-dichlorobenzene,aerosol,pg/m3
1-4-dichlorobenzene,air,pg/m3
1-4-dichlorobenzene,air+aerosol,pg/m3
1-butene,air,pmol/mol
1-butyne,air,pmol/mol
1-ethyl-3-methylbenzene,air,pmol/mol
1-ethyl-4-methylbenzene,air,pmol/mol
1-hexene,air,pmol/mol
1-methylanthracene,air+aerosol,ng/m3
1-methylanthracene,wetdep,ng/m2day
1-methylnaphthalene,aerosol,ng/m3
1-methylnaphthalene,air,ng/m3
1-methylnaphthalene,air+aerosol,ng/m3
1-methylnaphthalene,precip,ng/l
1-methylnaphthalene,wetdep,ng/m2day
1-methylphenanthrene,air+aerosol,ng/m3
1-methylphenanthrene,precip,ng/l
1-methylphenanthrene,wetdep,ng/m2day
1-pentene,air,pmol/mol
1234678_HpCDD,aerosol,fg/m3
1234678_HpCDD,air,fg/m3
1234678_HpCDD,air+aerosol,fg/m3
1234678_HpCDD,precip,ng/l
1234678_HpCDF,aerosol,fg/m3
1234678_HpCDF,air,fg/m3
1234678_HpCDF,air+aerosol,fg/m3
1234678_HpCDF,precip,ng/l
1234789_HpCDF,aerosol,fg/m3
1234789_HpCDF,air,fg/m3
1234789_HpCDF,air+aerosol,fg/m3
1234789_HpCDF,precip,ng/l
123478_HxCDD,aerosol,fg/m3
123478_HxCDD,air,fg/m3
123478_HxCDD,air+aerosol,fg/m3
123478_HxCDD,precip,ng/l
123478_HxCDF,aerosol,fg/m3
123478_HxCDF,air,fg/m3
123478_HxCDF,air+aerosol,fg/m3
123478_HxCDF,precip,ng/l
123678_HxCDD,aerosol,fg/m3
123678_HxCDD,air,fg/m3
123678_HxCDD,air+aerosol,fg/m3
123678_HxCDD,precip,ng/l
123678_HxCDF,aerosol,fg/m3
123678_HxCDF,air,fg/m3
123678_HxCDF,air+aerosol,fg/m3
123678_HxCDF,precip,ng/l
123789_HxCDD,aerosol,fg/m3
123789_HxCDD,air,fg/m3
123789_HxCDD,air+aerosol,fg/m3
123789_HxCDD,precip,ng/l
123789_HxCDF,aerosol,fg/m3
123789_HxCDF,air,fg/m3
123789_HxCDF,air+aerosol,fg/m3
123789_HxCDF,precip,ng/l
12378_PeCDD,aerosol,fg/m3
12378_PeCDD,air,fg/m3
12378_PeCDD,air+aerosol,fg/m3
12378_PeCDD,precip,ng/l
12378_PeCDF,aerosol,fg/m3
12378_PeCDF,air,fg/m3
12378_PeCDF,air+aerosol,fg/m3
12378_PeCDF,precip,ng/l
2+3-methylheptane,air,pmol/mol
2+3metylheptan,air,pmol/mol
2-2-3-trimethylbutane,air,pmol/mol
2-2-4-trimethylbenzene,air,pmol/mol
2-2-4-trimethylpentane,air,pmol/mol
2-2-dimethylbutane,air,pmol/mol
2-2-dimethylpentane,air,pmol/mol
2-2-dimethylpropane,air,pmol/mol
2-3-dimethylbutane,air,pmol/mol
2-3-dimethylpentane,air,pmol/mol
2-4-dimethylpentane,air,pmol/mol
2-butenal,air,ug/m3
2-chloronaphthalene,aerosol,pg/m3
2-chloronaphthalene,air,pg/m3
2-chloronaphthalene,air+aerosol,pg/m3
2-methyl-1-butene,air,pmol/mol
2-methyl-2-propenal,air,ug/m3
2-methylanthracene,air+aerosol,ng/m3
2-methylanthracene,precip,ng/l
2-methylanthracene,wetdep,ng/m2day
2-methylbenzaldehyde,air,ug/m3
2-methylbutane,air,pmol/mol
2-methylerythritol,aerosol,ng/m3
2-methylerythritol,pm10,ng/m3
2-methylerythritol,pm25,ng/m3
2-methylheptane,air,pmol/mol
2-methylhexane,air,pmol/mol
2-methylnaphthalene,aerosol,ng/m3
2-methylnaphthalene,air,ng/m3
2-methylnaphthalene,air+aerosol,ng/m3
2-methylnaphthalene,precip,ng/l
2-methylnaphthalene,wetdep,ng/m2day
2-methylpentane,air,pmol/mol
2-methylphenanthrene,air+aerosol,ng/m3
2-methylphenanthrene,precip,ng/l
2-methylphenanthrene,wetdep,ng/m2day
2-methylpropane,air,pmol/mol
2-methylpropenal,air,ug/m3
2-methylpropene,air,pmol/mol
2-methylthreitol,aerosol,ng/m3
2-methylthreitol,pm10,ng/m3
2-methylthreitol,pm25,ng/m3
2-oxopropanal,air,ug/m3
2-propanol,air,ug/m3
2-propenal,air,ug/m3
234678_HxCDF,aerosol,fg/m3
234678_HxCDF,air,fg/m3
234678_HxCDF,air+aerosol,fg/m3
234678_HxCDF,precip,ng/l
23478_PeCDF,aerosol,fg/m3
23478_PeCDF,air,fg/m3
23478_PeCDF,air+aerosol,fg/m3
23478_PeCDF,precip,ng/l
2378_TCDD,aerosol,fg/m3
2378_TCDD,air,fg/m3
2378_TCDD,air+aerosol,fg/m3
2378_TCDD,precip,ng/l
2378_TCDF,aerosol,fg/m3
2378_TCDF,air,fg/m3
2378_TCDF,air+aerosol,fg/m3
2378_TCDF,precip,ng/l
3-3-dimethylpentane,air,pmol/mol
3-buten-2-one,air,ug/m3
3-methyl-1-butene,air,pmol/mol
3-methylbenzaldehyde,air,ug/m3
3-methylbutanal,air,ug/m3
3-methylheptane,air,pmol/mol
3-methylpentane,air,pmol/mol
3-methylphenanthrene,air+aerosol,ng/m3
3-methylphenanthrene,precip,ng/l
4-5-methylenephenanthrene,air+aerosol,ng/m3
4-5-methylenephenanthrene,wetdep,ng/m2day
4-methylbenzaldehyde,air,ug/m3
5-methylchrysene,aerosol,ng/m3
5-methylchrysene,air+aerosol,ng/m3
5-methylchrysene,pm10,ng/m3
5-methylchrysene,wetdep,ng/m2day
9-methylphenanthrene,air+aerosol,ng/m3
9-methylphenanthrene,precip,ng/l
9-methylphenanthrene,wetdep,ng/m2day
ATE,aerosol,pg/m3
ATE,air,pg/m3
ATE,air+aerosol,pg/m3
ATE,air+pm10,pg/m3
ATE,pm10,pg/m3
ATE,pm25,pg/m3
BATE,aerosol,pg/m3
BATE,air,pg/m3
BATE,air+aerosol,pg/m3
BATE,air+pm10,pg/m3
BATE,pm10,pg/m3
BATE,pm25,pg/m3
BB_101,aerosol,pg/m3
BB_101,air,pg/m3
BB_101,air+aerosol,pg/m3
BB_101,air+pm10,pg/m3
BB_101,pm10,pg/m3
BB_101,pm25,pg/m3
BB_15,air+aerosol,pg/m3
BB_153,air+aerosol,pg/m3
BDE_100,aerosol,pg/m3
BDE_100,air,pg/m3
BDE_100,air+aerosol,pg/m3
BDE_100,dried_moss,pg/g
BDE_100,precip,ng/l
BDE_100,precip+dry_dep,ng/m2day
BDE_119,aerosol,pg/m3
BDE_119,air,pg/m3
BDE_119,air+aerosol,pg/m3
BDE_119,dried_moss,pg/g
BDE_126,dried_moss,pg/g
BDE_138,aerosol,pg/m3
BDE_138,air,pg/m3
BDE_138,air+aerosol,pg/m3
BDE_138,dried_moss,pg/g
BDE_15,aerosol,pg/m3
BDE_15,air,pg/m3
BDE_15,air+aerosol,pg/m3
BDE_153,aerosol,pg/m3
BDE_153,air,pg/m3
BDE_153,air+aerosol,pg/m3
BDE_153,dried_moss,pg/g
BDE_154,aerosol,pg/m3
BDE_154,air,pg/m3
BDE_154,air+aerosol,pg/m3
BDE_154,dried_moss,pg/g
BDE_155,aerosol,pg/m3
BDE_155,air,pg/m3
BDE_155,air+aerosol,pg/m3
BDE_156,dried_moss,pg/g
BDE_166,aerosol,pg/m3
BDE_166,air,pg/m3
BDE_166,air+aerosol,pg/m3
BDE_17,aerosol,pg/m3
BDE_17,air,pg/m3
BDE_17,air+aerosol,pg/m3
BDE_17,dried_moss,pg/g
BDE_183,aerosol,pg/m3
BDE_183,air,pg/m3
BDE_183,air+aerosol,pg/m3
BDE_183,dried_moss,pg/g
BDE_184,dried_moss,pg/g
BDE_190,aerosol,pg/m3
BDE_190,air,pg/m3
BDE_190,air+aerosol,pg/m3
BDE_191,dried_moss,pg/g
BDE_196,air+aerosol,pg/m3
BDE_196,dried_moss,pg/g
BDE_197,dried_moss,pg/g
BDE_202,dried_moss,pg/g
BDE_203,aerosol,pg/m3
